Generation,Champion Bitstring,Champion Values,Champion Fitness,Champion Accuracy,Champion Capacity,Average Fitness,Average Capacity,Average Accuracy,Minimum Fitness,Minimum Capacity,Minimum Accuracy
1,101000010010,"(11, 2, 48)",55.50383832253269,37.34600067138672,22448,31.46923620424945,225031.83333333334,52.16393203735352,9.488329890167165,37.34600067138672,22448
2,111000000011,"(15, 1, 64)",62.34197161060041,38.74799728393555,15400,37.897690552427335,135460.63333333333,45.44826526641846,14.575225836298358,9.999999046325684,15400
3,010000000001,"(5, 1, 32)",71.63967455017277,34.5880012512207,7658,41.86166285962921,124963.4,44.81133244832357,15.582378054449379,19.559999465942383,7658
4,001000000000,"(3, 1, 16)",79.68962276883212,28.237998962402344,3844,50.683900771912704,68452.23333333334,40.132331943511964,16.28206138736533,9.999999046325684,3844
5,010100000000,"(6, 1, 16)",80.6689012071799,30.67599868774414,3901,46.80444832512501,86165.03333333334,39.14766543706258,10.976299572948378,9.999999046325684,3901
6,010100000000,"(6, 1, 16)",81.66290068838107,32.663997650146484,3901,47.61511410549159,85244.2,42.228199100494386,16.046176668796917,9.999999046325684,3901
7,010000010000,"(5, 2, 16)",70.82351401418721,32.39799880981445,7528,44.679625358884365,92767.33333333333,42.979265149434404,14.720481674504668,9.999999046325684,7528
8,111100010000,"(16, 2, 16)",72.231457296932,36.519996643066406,7836,46.95756403057711,56169.2,38.015865643819176,19.73361987716158,9.999999046325684,7500
9,011100000000,"(8, 1, 16)",81.97902547551655,33.61199951171875,3939,48.54278482035411,73213.6,42.2562658627828,18.268525023138444,9.999999046325684,3939
10,001100010000,"(4, 2, 16)",71.19820120374386,33.025997161865234,7500,46.99270419558429,82967.7,40.27046553293864,16.045980969556638,9.999999046325684,7416
11,010000000000,"(5, 1, 16)",80.27241709725584,29.7239990234375,3882,50.03807333184854,61106.0,40.110532156626384,19.278742048807047,9.999999046325684,3882
12,011100010000,"(8, 2, 16)",72.48379477261685,36.07999801635742,7612,44.97675452665007,88233.5,42.59766550064087,17.192773386361182,9.999999046325684,7472
13,100000000000,"(9, 1, 16)",81.67165754416749,33.15399932861328,3958,48.0194291214059,57641.8,38.706265958150226,18.49004250500198,9.999999046325684,3958
14,100100000000,"(10, 1, 16)",81.42166602467125,32.810001373291016,3977,45.77567368917622,92190.16666666667,38.410332425435385,15.066237418080476,9.999999046325684,3977
15,100100000000,"(10, 1, 16)",81.7266644224984,33.41999816894531,3977,54.04320084807515,69928.06666666667,39.603798929850264,14.877990795732828,24.357999801635742,3844
16,110000000001,"(13, 1, 32)",71.701586824694,35.35200119018555,7810,52.00049243887738,46258.3,38.83406572341919,22.03019672473365,9.999999046325684,3806
17,100100000000,"(10, 1, 16)",81.18266570423668,32.332000732421875,3977,52.75183035997569,46036.96666666667,32.19639924367269,4.819838460716284,9.999999046325684,3806
18,101000000000,"(11, 1, 16)",81.42604402844583,32.9739990234375,3996,54.79790672548755,36484.1,35.51519886652628,29.52999089021165,9.999999046325684,3806
19,010100000000,"(6, 1, 16)",80.97090125295627,31.279998779296875,3901,51.21946513897948,69393.6,41.856865374247235,20.497939188437037,24.95800018310547,3844
20,000100000000,"(2, 1, 16)",80.18932017227584,29.075998306274414,3825,47.170048131942025,84182.33333333333,41.3779320081075,12.74592190235657,9.999999046325684,3825
